"ensembl_tr_id","GSM4223714","GSM4223715","GSM4223716","GSM4223717","GSM4223718","GSM4223719","GSM4223720","GSM4223721","GSM4223722","GSM4223723","GSM4223724","GSM4223725"
"ENSMUST00000192692",6.001,4,6,5,2,3,7,8,0,0,2,0
"ENSMUST00000130201",9.654,6.331,37.649,3.292,0,0,0,0,0,0,0,0
"ENSMUST00000156816",22.393,15.148,33.074,29.388,15.392,20.992,29.738,33.512,17.111,21.254,18.025,46.231
"ENSMUST00000045689",8.418,6.108,0,0,3.601,0,0,0,0,0,3.332,0
"ENSMUST00000115538",689.252,831.413,795.653,960.32,440.007,487.008,619.262,600.791,525.889,434.746,841.643,806.769
"ENSMUST00000192286",13.086,0,17.468,0,1.056,0,0,2.143,3.006,1.044,0,3.348
"ENSMUST00000146665",17.443,42,16.155,19,8.944,14,12,26.51,10.877,20.956,23,19.737
"ENSMUST00000027036",81.562,66.938,92.48,83.962,9.311,16.394,20.122,25.558,8.354,3.076,11.954,5.796
"ENSMUST00000141278",9.301,4.971,6.039,6.217,0,0,2.005,7.113,2.996,3,0,3
"ENSMUST00000081551",139.226,83.478,167.86,116.116,39.086,52.473,59.22,73.376,35.698,20.802,32.882,42.171
"ENSMUST00000002533",47.287,39.313,73.485,63.255,20.009,29.049,59.009,47.455,7.899,5.029,24.266,18.753
"ENSMUST00000119256",28.485,32.219,27.847,58.295,11.867,18.251,0,26.568,6.697,6.184,0,14.998
"ENSMUST00000170566",0,0,0,0,0,0,9.193,0,0,0,7.251,0
"ENSMUST00000044369",36.975,21,18,23,3,8,10,5,7,6,12.965,6
"ENSMUST00000194978",13.411,7.26,10.58,2.941,0,2.427,11.643,8.017,7.267,5.345,2.003,7.114
"ENSMUST00000192142",1.003,0,4,2,4,0,2,1,1,0,0,0
"ENSMUST00000193241",2.817,2.179,3.044,4.376,1.084,1.151,0,6.958,1.994,5.59,0,4.293
"ENSMUST00000160339",0,2,5.157,8,0,0,0,1,0,0,0,0
"ENSMUST00000027040",34.382,6.603,15.958,0,0,10.112,0,2.368,0,0,2.263,0
"ENSMUST00000162210",5,1,7,1,3,1,1,1,2,1,0,0
"ENSMUST00000161327",175.288,81.507,218.543,108.818,35,26.968,44.02,19.462,22.807,27.292,24.445,2.659
"ENSMUST00000162257",76.33,52.881,88.499,86.772,0,9.921,15.98,27.92,11.193,15.708,3.966,27.586
"ENSMUST00000159656",0,31.009,0,25.41,0,0,0,8.25,0,0,0,11.755
"ENSMUST00000191825",17.299,8.731,32.953,23.259,5,7.983,20.304,22.555,6.001,1.065,5.007,4.085
"ENSMUST00000151281",30.283,11.128,17.129,10.258,2.129,0,0,7,0,2.112,1.103,0
"ENSMUST00000151015",21.717,15.872,24.871,12.742,4.871,1,1,0,1,2.888,0.897,1
