"ensembl_transcript_id","mgi_symbol","transcript_biotype","description"
"ENSMUST00000194605","Gm37108","processed_pseudogene","predicted gene, 37108 [Source:MGI Symbol;Acc:MGI:5610336]"
"ENSMUST00000188753","Gm29157","lncRNA","predicted gene 29157 [Source:MGI Symbol;Acc:MGI:5579863]"
"ENSMUST00000061280","Pcmtd1","protein_coding","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]"
"ENSMUST00000182892","Pcmtd1","retained_intron","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]"
"ENSMUST00000183204","Pcmtd1","retained_intron","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]"
"ENSMUST00000194854","Gm38372","TEC","predicted gene, 38372 [Source:MGI Symbol;Acc:MGI:5611600]"
"ENSMUST00000193428","Gm26901","retained_intron","predicted gene, 26901 [Source:MGI Symbol;Acc:MGI:5477395]"
"ENSMUST00000146282","Cdh7","protein_coding","cadherin 7, type 2 [Source:MGI Symbol;Acc:MGI:2442792]"
"ENSMUST00000039725","Exo1","protein_coding","exonuclease 1 [Source:MGI Symbol;Acc:MGI:1349427]"
"ENSMUST00000191680","Exo1","protein_coding","exonuclease 1 [Source:MGI Symbol;Acc:MGI:1349427]"
"ENSMUST00000126008","Uxs1","protein_coding","UDP-glucuronate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:1915133]"
"ENSMUST00000094626","Cdh19","protein_coding","cadherin 19, type 2 [Source:MGI Symbol;Acc:MGI:3588198]"
"ENSMUST00000192257","Gm36944","TEC","predicted gene, 36944 [Source:MGI Symbol;Acc:MGI:5610172]"
"ENSMUST00000186797","Gm8173","processed_pseudogene","predicted gene 8173 [Source:MGI Symbol;Acc:MGI:3648321]"
"ENSMUST00000186365","Dsel","protein_coding_CDS_not_defined","dermatan sulfate epimerase-like [Source:MGI Symbol;Acc:MGI:2442948]"
"ENSMUST00000035462","Dsel","protein_coding","dermatan sulfate epimerase-like [Source:MGI Symbol;Acc:MGI:2442948]"
"ENSMUST00000180837","9330185C12Rik","lncRNA","RIKEN cDNA 9330185C12 gene [Source:MGI Symbol;Acc:MGI:1924761]"
"ENSMUST00000125404","Pld5","nonsense_mediated_decay","phospholipase D family, member 5 [Source:MGI Symbol;Acc:MGI:2442056]"
"ENSMUST00000065967","Pld5","protein_coding","phospholipase D family, member 5 [Source:MGI Symbol;Acc:MGI:2442056]"
"ENSMUST00000104983","Rbm8a2","protein_coding","RNA binding motif protein 8A2 [Source:MGI Symbol;Acc:MGI:3612447]"
"ENSMUST00000195389","Gm38152","TEC","predicted gene, 38152 [Source:MGI Symbol;Acc:MGI:5611380]"
